StockCode,Description,Unique_Customers,Unique_Invoices,total_quantity,Total_Revenue
21975,PACK OF 60 DINOSAUR CAKE CASES,287,529,12134,5934.68
21976,PACK OF 60 MUSHROOM CAKE CASES,181,276,4967,2513.13
21977,PACK OF 60 PINK PAISLEY CAKE CASES,410,669,24264,11629.7
21980,PACK OF 12 RED RETROSPOT TISSUES ,192,250,6523,2003.3099999999997
21981,PACK OF 12 WOODLAND TISSUES ,143,190,5295,1512.9299999999998
21982,PACK OF 12 SUKI TISSUES ,182,259,7346,2083.58
21983,PACK OF 12 BLUE PAISLEY TISSUES ,98,124,2223,712.7299999999999
21984,PACK OF 12 PINK PAISLEY TISSUES ,123,157,3309,1003.9499999999999
21985,PACK OF 12 HEARTS DESIGN TISSUES ,262,354,8569,2550.29
21986,PACK OF 12 PINK POLKADOT TISSUES,118,155,3985,1129.79
21987,PACK OF 6 SKULL PAPER CUPS,106,147,2050,1254.74
21988,PACK OF 6 SKULL PAPER PLATES,101,147,2194,1663.3
21989,PACK OF 20 SKULL PAPER NAPKINS,130,205,2068,1675.24
21990,MODERN FLORAL STATIONERY SET,127,177,1219,1745.05
21991,BOHEMIAN COLLAGE STATIONERY SET,80,102,471,675.53
21992,VINTAGE PAISLEY STATIONERY SET,160,199,1163,1658.69
21993,FLORAL FOLK STATIONERY SET,151,205,1366,1934.85
22021,BLUE FELT EASTER EGG BASKET,60,64,350,577.4999999999999
22023,EMPIRE BIRTHDAY CARD,71,84,1143,481.29
22024,RAINY LADIES BIRTHDAY CARD,90,129,2304,928.99
22025,RING OF ROSES BIRTHDAY CARD,73,87,1776,707.04
22026,BANQUET BIRTHDAY  CARD  ,71,100,1572,647.28
22027,TEA PARTY BIRTHDAY CARD,180,262,4165,1702.79
22028,PENNY FARTHING BIRTHDAY CARD,124,185,2915,1203.49
22029,SPACEBOY BIRTHDAY CARD,234,394,7858,3130.22
22030,SWALLOWS GREETING CARD,179,242,5361,2130.63
22031,BOTANICAL LAVENDER BIRTHDAY CARD,28,32,363,158.61
22032,BOTANICAL LILY GREETING CARD,28,31,361,151.62
22033,BOTANICAL ROSE GREETING CARD,20,21,336,141.12
22034,ROBIN CHRISTMAS CARD,1,1,3,1.26
22035,VINTAGE CARAVAN GREETING CARD ,65,87,1406,574.06
22037,ROBOT BIRTHDAY CARD,173,257,3795,1573.12
22038,BOTANICAL LAVENDER GIFT WRAP ,19,19,475,199.5
22039,BOTANICAL LILY GIFT WRAP,6,7,250,105.0
22040,BOTANICAL ROSE GIFT WRAP,27,28,725,304.5
22041,"RECORD FRAME 7"" SINGLE SIZE ",73,196,3812,8450.82
22042,CHRISTMAS CARD SINGING ANGEL,24,25,372,156.24
22043,CHRISTMAS CARD SCREEN PRINT ,40,43,1188,283.32
22044,CHRISTMAS CARD STACK OF PRESENTS,35,36,816,196.44000000000003
22045,SPACEBOY GIFT WRAP,148,206,6502,2662.84
22046,TEA PARTY  WRAPPING PAPER ,62,75,2250,929.0
22047,EMPIRE GIFT WRAP,93,105,3400,1384.0
22048,BIRTHDAY BANQUET GIFT WRAP,32,32,975,393.5
22049,WRAP CHRISTMAS SCREEN PRINT,26,31,1025,275.25
22050,PINK PAISLEY ROSE GIFT WRAP,37,40,1225,498.5
22051,BLUE SCANDINAVIAN PAISLEY WRAP,36,39,1000,420.0
22052,VINTAGE CARAVAN GIFT WRAP,22,23,571,239.82
22053,EMPIRE DESIGN ROSETTE,23,26,4236,3596.4199999999996
22055,MINI CAKE STAND  HANGING STRAWBERY,102,142,1248,1665.08
22057,CERAMIC PLATE STRAWBERRY DESIGN,46,56,578,648.18
22059,CERAMIC STRAWBERRY DESIGN MUG,85,142,1749,1973.1699999999998
22060,LARGE CAKE STAND HANGING HEARTS,31,34,233,1118.95
22061,LARGE CAKE STAND  HANGING STRAWBERY,86,129,565,3864.63
22062,CERAMIC BOWL WITH LOVE HEART DESIGN,43,52,559,603.89
22063,CERAMIC BOWL WITH STRAWBERRY DESIGN,56,81,544,1127.2
22064,PINK DOUGHNUT TRINKET POT ,85,164,1608,2142.6
22065,CHRISTMAS PUDDING TRINKET POT ,132,164,6440,2892.02
22066,LOVE HEART TRINKET POT,99,131,2248,1035.3799999999999
22067,CHOC TRUFFLE GOLD TRINKET POT ,32,48,389,569.1299999999999
22068,BLACK PIRATE TREASURE CHEST,56,81,437,509.36999999999995
22069,BROWN  PIRATE TREASURE CHEST ,26,37,220,240.77999999999997
22070,SMALL RED RETROSPOT MUG IN BOX ,62,84,874,2034.43
22071,SMALL WHITE RETROSPOT MUG IN BOX ,64,72,711,1298.79
22072,RED RETROSPOT TEA CUP AND SAUCER ,90,139,813,2539.19
22073,RED RETROSPOT STORAGE JAR,38,45,300,1074.6
22074,6 RIBBONS SHIMMERING PINKS ,61,75,1001,774.5899999999999
22075,6 RIBBONS ELEGANT CHRISTMAS ,96,120,1565,2019.2299999999998
22076,6 RIBBONS EMPIRE  ,96,113,1035,1304.37
22077,6 RIBBONS RUSTIC CHARM,413,726,8605,14988.589999999998
22078,RIBBON REEL LACE DESIGN ,105,143,1300,2610.0
22079,RIBBON REEL HEARTS DESIGN ,190,225,1715,2831.99
22080,RIBBON REEL POLKADOTS ,116,126,1182,1902.3
22081,RIBBON REEL FLORA + FAUNA ,74,89,595,994.87
22082,RIBBON REEL STRIPES DESIGN ,250,334,2558,4208.78
22083,PAPER CHAIN KIT RETROSPOT,294,444,4307,12043.210000000001
22084,PAPER CHAIN KIT EMPIRE,277,374,4893,13435.150000000001
22085,PAPER CHAIN KIT SKULLS ,62,73,507,1415.65
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,613,980,15617,42660.83
22087,PAPER BUNTING WHITE LACE,155,257,3779,10264.050000000001
22088,PAPER BUNTING COLOURED LACE,115,169,1698,4683.1
22089,PAPER BUNTING VINTAGE PAISLEY,142,180,1190,3398.5000000000005
22090,PAPER BUNTING RETROSPOT,325,567,6879,18791.89
22091,EMPIRE TISSUE BOX,97,130,1945,922.7900000000001
22092,BLUE PAISLEY TISSUE BOX,75,88,668,312.34000000000003
22093,MOTORING TISSUE BOX,114,153,1828,806.76
22094,RED RETROSPOT TISSUE BOX,117,145,2087,933.24
22095,LADS ONLY TISSUE BOX,72,102,1578,1432.04
22096,PINK PAISLEY SQUARE TISSUE BOX ,89,109,1364,564.48
22097,SWALLOW SQUARE TISSUE BOX,103,132,1591,692.73
22098,BOUDOIR SQUARE TISSUE BOX,98,143,1957,911.72
22099,CARAVAN SQUARE TISSUE BOX,96,122,1405,707.63
22100,SKULLS SQUARE TISSUE BOX,34,38,729,305.81
22101,MIRROR MOSAIC VOTIVE HOLDER,21,24,837,631.62
22102,MIRROR MOSAIC T-LIGHT HOLDER ,13,18,1533,715.0500000000001
22103,MIRROR MOSAIC T-LIGHT HOLDER ROUND,12,15,1165,714.09
22104,MIRROR MOSAIC CANDLE PLATE,9,12,151,120.07
22105,MIRROR MOSAIC GOBLET CANDLE HOLDER,9,10,506,566.5
22106,MIRROR MOSAIC HURRICANE LAMP ,9,12,286,584.9
22107,PIZZA PLATE IN BOX,44,69,293,967.48
22108,PING! MICROWAVE PLATE,16,28,101,246.53
22109,FULL ENGLISH BREAKFAST PLATE,100,158,1383,4993.05
22110,BIRD HOUSE HOT WATER BOTTLE,116,154,618,1564.61
22111,SCOTTIE DOG HOT WATER BOTTLE,425,656,4259,20104.350000000002
22112,CHOCOLATE HOT WATER BOTTLE,382,700,5160,23624.24
22113,GREY HEART HOT WATER BOTTLE,337,511,3156,12191.15
22114,HOT WATER BOTTLE TEA AND SYMPATHY,325,514,3736,15415.22
22115,METAL SIGN EMPIRE TEA,152,183,1495,1706.8100000000002
22116,METAL SIGN HIS DINNER IS SERVED,65,90,505,493.39000000000004
22117,METAL SIGN HER DINNER IS SERVED ,58,72,1290,3802.5
22118,JOY WOODEN BLOCK LETTERS,67,78,219,748.83
22119,PEACE WOODEN BLOCK LETTERS,82,103,348,1731.36
22120,WELCOME  WOODEN BLOCK LETTERS,121,167,505,4856.5199999999995
22121,NOEL WOODEN BLOCK LETTERS ,94,114,333,1930.89
22123,PING MICROWAVE APRON,59,72,443,794.39
22124,SET OF 2 TEA TOWELS PING MICROWAVE,14,23,79,130.37
22125,UNION JACK HOT WATER BOTTLE ,1,1,4,23.8
22127,PARTY CONES CARNIVAL ASSORTED,20,20,402,479.7
22128,PARTY CONES CANDY ASSORTED,62,72,1729,2042.69
22129,PARTY CONES CANDY TREE DECORATION,33,36,992,790.56
22130,PARTY CONE CHRISTMAS DECORATION ,78,88,1505,1260.53
22131,FOOD CONTAINER SET 3 LOVE HEART ,115,180,1890,3370.42
22132,RED LOVE HEART SHAPE CUP,60,83,935,772.91
22133,PINK LOVE HEART SHAPE CUP,41,60,702,585.78
22134,LADLE LOVE HEART RED ,29,55,637,255.18
22135,LADLE LOVE HEART PINK,22,48,262,114.96
22136,LOVE HEART SOCK HANGER,37,50,334,531.9
22137,BATHROOM SET LOVE HEART DESIGN,9,11,68,191.0
22138,BAKING SET 9 PIECE RETROSPOT ,581,854,4797,23007.55
22139,RETROSPOT TEA SET CERAMIC 11 PC ,488,823,4248,20470.780000000002
22141,CHRISTMAS CRAFT TREE TOP ANGEL,256,348,2448,5025.580000000001
22142,CHRISTMAS CRAFT WHITE FAIRY ,259,321,3073,4339.29
22144,CHRISTMAS CRAFT LITTLE FRIENDS,319,421,3468,7128.1
22145,CHRISTMAS CRAFT HEART STOCKING ,1,1,30,63.0
22146,EASTER CRAFT IVY WREATH WITH CHICK,1,1,1,1.95
22147,FELTCRAFT BUTTERFLY HEARTS,287,436,6127,8314.55
22148,EASTER CRAFT 4 CHICKS ,148,159,1819,3367.0499999999997
22149,FELTCRAFT 6 FLOWER FRIENDS,337,461,5890,11566.390000000001
22150,3 STRIPEY MICE FELTCRAFT,288,402,2923,5478.05
22151,PLACE SETTING WHITE HEART,174,289,14877,5922.2699999999995
22152,PLACE SETTING WHITE STAR,70,93,2351,967.55
22153,ANGEL DECORATION STARS ON DRESS,61,86,2459,1012.62
22154,ANGEL DECORATION 3 BUTTONS ,87,111,3532,1457.52
22155,STAR DECORATION RUSTIC,67,85,2203,925.26
22156,HEART DECORATION WITH PEARLS ,106,152,1875,1588.1599999999999
22157,ANGEL DECORATION WITH LACE PADDED,11,11,212,180.2
22158,3 HEARTS HANGING DECORATION RUSTIC,196,261,2895,8161.21
22161,HEART DECORATION RUSTIC HANGING ,118,153,4143,857.33
22162,HEART GARLAND RUSTIC PADDED,21,27,106,312.70000000000005
22163,HEART STRING MEMO HOLDER HANGING,41,49,626,580.94
22164,STRING OF STARS CARD HOLDER,11,12,71,209.45000000000005
22165,"DIAMANTE HEART SHAPED WALL MIRROR, ",27,38,267,1490.65
22166,WALL MIRROR RECTANGLE DIAMANTE PINK,13,16,122,489.90000000000003
22167, OVAL WALL MIRROR DIAMANTE ,41,58,121,1059.95
22168,ORGANISER WOOD ANTIQUE WHITE ,69,75,139,1171.3
22169,FAMILY ALBUM WHITE PICTURE FRAME,165,286,1075,8416.64
22170,PICTURE FRAME WOOD TRIPLE PORTRAIT,142,225,1023,6378.150000000001
22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,172,304,1723,12294.380000000001
22173,METAL 4 HOOK HANGER FRENCH CHATEAU,210,337,2151,6273.29
22174,PHOTO CUBE,104,169,2688,4032.5599999999995
22175,PINK OWL SOFT TOY,84,139,841,2384.9500000000003
22176,BLUE OWL SOFT TOY,62,98,489,1423.3500000000001
22178,VICTORIAN GLASS HANGING T-LIGHT,403,815,22433,28776.51
22179,SET 10 LIGHTS NIGHT OWL,98,178,796,5110.74
22180,RETROSPOT LAMP,92,131,303,2962.6499999999996
22181,SNOWSTORM PHOTO FRAME FRIDGE MAGNET,40,46,577,477.96999999999997
22182,CAKE STAND VICTORIAN FILIGREE SMALL,30,36,206,723.7
22183,CAKE STAND VICTORIAN FILIGREE MED,16,17,74,466.95000000000005
22184,CAKE STAND VICTORIAN FILIGREE LARGE,3,4,8,68.0
22185,SLATE TILE NATURAL HANGING,111,126,1428,2029.6999999999998
22186,RED STAR CARD HOLDER,111,118,801,1723.79
22187,GREEN CHRISTMAS TREE CARD HOLDER,123,145,1183,2562.27
22188,BLACK HEART CARD HOLDER,123,166,4844,12261.9
22189,CREAM HEART CARD HOLDER,274,452,8195,22715.57
22190,LOCAL CAFE MUG,38,52,566,785.1300000000001
22191,IVORY DINER WALL CLOCK,239,391,1426,11587.2
22192,BLUE DINER WALL CLOCK,179,338,907,7528.93
22193,RED DINER WALL CLOCK,206,416,1352,11074.390000000001
22194,BLACK DINER WALL CLOCK,24,33,53,450.5
22195,LARGE HEART MEASURING SPOONS,148,220,1699,2841.87
22196,SMALL HEART MEASURING SPOONS,146,247,2385,2013.7299999999998
22197,SMALL POPCORN HOLDER,407,1035,49183,37226.43
22198,LARGE POPCORN HOLDER ,42,53,873,1370.4499999999998
22199,FRYING PAN RED RETROSPOT,71,98,384,1328.5
22200,FRYING PAN PINK POLKADOT,51,76,326,1209.54
22201,FRYING PAN BLUE POLKADOT,29,40,108,366.0
22202,MILK PAN PINK POLKADOT,16,17,39,146.25
22203,MILK PAN RED RETROSPOT,75,91,310,996.13
22204,MILK PAN BLUE POLKADOT,23,30,96,302.5
22207,FRYING PAN UNION FLAG,68,113,1200,4731.36
22208,WOOD STAMP SET THANK YOU,148,199,1289,1234.1
22209,WOOD STAMP SET HAPPY BIRTHDAY,100,121,825,802.8199999999999
22210,WOOD STAMP SET BEST WISHES,117,142,914,822.5699999999999
22211,WOOD STAMP SET FLOWERS,101,126,783,808.3799999999999
22212,FOUR HOOK  WHITE LOVEBIRDS,145,253,1422,2917.4700000000003
22214,CANDLE PLATE LACE WHITE,18,21,114,246.7
22215,CAKE STAND WHITE TWO TIER LACE,71,89,330,2254.5
22216,T-LIGHT HOLDER WHITE LACE,17,20,327,182.31
22217,T-LIGHT HOLDER HANGING LACE,63,64,765,647.51
22218,CAKE STAND LACE WHITE,1,1,1,4.25
22219,LOVEBIRD HANGING DECORATION WHITE ,190,311,3372,2818.62
22220,CAKE STAND LOVEBIRD 2 TIER WHITE,64,74,214,1499.5
22221,CAKE STAND LOVEBIRD 2 TIER PINK,37,44,124,964.4
22222,CAKE PLATE LOVEBIRD WHITE,104,149,824,2599.2000000000003
22223,CAKE PLATE LOVEBIRD PINK,34,42,315,902.85
22224,WHITE LOVEBIRD LANTERN,89,115,688,1973.6000000000001
22227,HANGING HEART MIRROR DECORATION ,83,170,1969,1276.8500000000001
22228,BUNNY WOODEN PAINTED WITH BIRD ,81,93,852,598.16
22229,BUNNY WOODEN PAINTED WITH FLOWER ,54,62,495,334.27
22230,JIGSAW TREE WITH WATERING CAN,50,63,926,356.46
22231,JIGSAW TREE WITH BIRDHOUSE,93,106,869,823.17
22232,JIGSAW TOADSTOOLS 3 PIECE,54,61,623,506.42999999999995
22233,JIGSAW RABBIT AND BIRDHOUSE,70,77,541,515.29
22236,CAKE STAND 3 TIER MAGIC GARDEN,67,88,308,3624.5999999999995
22241,GARLAND WOODEN HAPPY EASTER,125,165,1788,2180.28
22242,5 HOOK HANGER MAGIC TOADSTOOL,23,27,631,964.3499999999999
22243,5 HOOK HANGER RED MAGIC TOADSTOOL,71,108,3055,4596.75
22244,3 HOOK HANGER MAGIC GARDEN,66,94,1617,2915.5499999999997
22245,"HOOK, 1 HANGER ,MAGIC GARDEN",44,56,1199,966.11
22246,MAGIC GARDEN FELT GARLAND ,31,36,278,555.18
22247,BUNNY DECORATION MAGIC GARDEN,54,56,485,408.09
22248,DECORATION  PINK CHICK MAGIC GARDEN,43,44,383,321.39
22249,DECORATION WHITE CHICK MAGIC GARDEN,73,75,645,544.09
22250,DECORATION  BUTTERFLY  MAGIC GARDEN,57,57,449,377.49
22251,BIRDHOUSE DECORATION MAGIC GARDEN,66,72,520,645.44
22252,BIRDCAGE DECORATION TEALIGHT HOLDER,48,67,650,770.32
22254,FELT TOADSTOOL LARGE,33,41,594,706.02
22255,FELT TOADSTOOL  SMALL,33,44,542,460.7
22256,FELT FARM ANIMAL CHICKEN,32,33,262,327.5
22257,FELT FARM ANIMAL SHEEP,16,16,283,194.39
22258,FELT FARM ANIMAL RABBIT,35,36,722,543.94
22259,FELT FARM ANIMAL HEN,16,16,384,240.96
22260,FELT EGG COSY BLUE RABBIT ,37,47,410,351.62
22261,FELT EGG COSY WHITE RABBIT ,61,70,520,447.46
22262,FELT EGG COSY CHICKEN,62,90,924,788.52
22263,FELT EGG COSY LADYBIRD ,14,18,256,125.67999999999999
22264,FELT FARM ANIMAL WHITE BUNNY ,38,40,1393,518.77
22265,EASTER DECORATION NATURAL CHICK,42,48,514,334.1
22266,EASTER DECORATION HANGING BUNNY,69,78,1861,563.35
22267,EASTER DECORATION EGG BUNNY ,67,75,828,654.7
22268,EASTER DECORATION SITTING BUNNY,73,95,1838,666.4399999999999
22269,EGG CUP NATURAL CHICKEN,62,87,841,521.73
22270,HAPPY EASTER HANGING DECORATION,35,42,211,773.97
22271,FELTCRAFT DOLL ROSIE,181,256,1653,4716.870000000001
22272,FELTCRAFT DOLL MARIA,43,46,194,553.1
22273,FELTCRAFT DOLL MOLLY,211,293,4469,11762.99
22274,FELTCRAFT DOLL EMILY,168,231,1301,3732.1500000000005
22275,WEEKEND BAG VINTAGE ROSE PAISLEY,1,1,69,527.85
22276,WASH BAG VINTAGE ROSE PAISLEY,53,62,253,645.15
22277,COSMETIC BAG VINTAGE ROSE PAISLEY,54,63,355,728.62
22278,OVERNIGHT BAG VINTAGE ROSE PAISLEY,59,82,244,1207.8000000000002
22279,POCKET BAG BLUE PAISLEY RED SPOT,43,46,480,578.41
22280,POCKET BAG PINK PAISELY BROWN SPOT,26,30,177,224.88
22281,EASTER TREE YELLOW BIRDS,35,43,109,648.5500000000001
22282,12 EGG HOUSE PAINTED WOOD,39,64,111,1425.27
22283,6 EGG HOUSE PAINTED WOOD,82,117,258,2058.94
22284,HEN HOUSE DECORATION,78,99,901,1486.6499999999999
22285,"DECORATION HEN ON NEST, HANGING",74,90,834,1376.1
22286,"DECORATION , WOBBLY RABBIT , METAL ",64,79,1051,867.2699999999999
22287,"DECORATION , WOBBLY CHICKEN, METAL ",51,57,750,633.9599999999999
22288,HANGING METAL RABBIT DECORATION,37,39,453,566.25
22289,HANGING METAL CHICKEN DECORATION,19,19,126,157.5
22291,HANGING CHICK CREAM DECORATION,72,90,1243,1802.35
22292,HANGING CHICK  YELLOW DECORATION,76,88,1088,1520.0
22293,HANGING CHICK GREEN DECORATION,63,82,821,1190.4499999999998
22294,HEART FILIGREE DOVE  SMALL,162,246,5439,6671.07
22295,HEART FILIGREE DOVE LARGE,155,212,2737,4420.169999999999
22296,HEART IVORY TRELLIS LARGE,189,270,3055,4988.829999999999
22297,HEART IVORY TRELLIS SMALL,157,221,3863,4715.03
22299,PIG KEYRING WITH LIGHT & SOUND ,38,42,1316,1231.34
22300,COFFEE MUG DOG + BALL DESIGN,100,143,1450,3047.3399999999997
22301,COFFEE MUG CAT + BIRD DESIGN,123,181,2118,4529.34
22302,COFFEE MUG PEARS  DESIGN,134,190,2288,4959.85
22303,COFFEE MUG APPLES DESIGN,155,229,2770,6124.15
22304,COFFEE MUG BLUE PAISLEY DESIGN,38,47,744,1268.06
22305,COFFEE MUG PINK PAISLEY DESIGN,35,44,684,1559.44
22306,SILVER MUG BONE CHINA TREE OF LIFE,85,99,1138,1303.29
22307,GOLD MUG BONE CHINA TREE OF LIFE,53,61,729,835.61
22308,TEA COSY BLUE STRIPE,27,36,145,356.89
22309,TEA COSY RED  STRIPE,48,64,293,709.38
22310,IVORY KNITTED MUG COSY ,29,51,531,841.79
22311,OFFICE MUG WARMER BLACK+SILVER ,61,93,1054,2925.5
22312,OFFICE MUG WARMER POLKADOT,61,93,503,1454.9900000000002
22313,OFFICE MUG WARMER PINK,41,54,553,1482.89
22314,OFFICE MUG WARMER CHOC+BLUE,58,93,517,1434.0900000000001
22315,200 RED + WHITE BENDY STRAWS,90,119,761,914.77
22316,200 BENDY SKULL STRAWS,28,41,638,706.3000000000001
22317,FIVE CATS HANGING DECORATION,35,39,172,506.32000000000005
22318,FIVE HEART HANGING DECORATION,67,89,396,1161.0000000000002
22319,HAIRCLIPS FORTIES FABRIC ASSORTED,53,61,1346,587.86
22320,BIRDS MOBILE VINTAGE DESIGN,56,69,183,1100.21
22321,BIRD DECORATION RED RETROSPOT,45,57,760,646.0
22322,BIRD DECORATION GREEN POLKADOT,30,37,390,331.5
22323,PINK POLKADOT KIDS BAG,1,1,1,1.95
22324,BLUE POLKADOT KIDS BAG,20,29,228,456.35999999999996
22325,MOBILE VINTAGE HEARTS ,49,58,153,755.2500000000001
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,281,595,8100,22175.52
22327,ROUND SNACK BOXES SET OF 4 SKULLS,106,162,832,2358.4
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,227,458,6481,17604.99
22329,ROUND CONTAINER SET OF 5 RETROSPOT,103,151,1387,2182.95
22331,WOODLAND PARTY BAG + STICKER SET,101,143,1768,2750.96
22332,SKULLS PARTY BAG + STICKER SET,92,129,982,1562.6999999999998
22333,RETROSPOT PARTY BAG + STICKER SET,167,267,4391,6749.23
22334,DINOSAUR PARTY BAG + STICKER SET,77,91,684,1101.4399999999998
22335,HEART DECORATION PAINTED ZINC ,88,123,2024,1250.2
22336,DOVE DECORATION PAINTED ZINC ,47,49,2283,668.09
22337,ANGEL DECORATION PAINTED ZINC ,24,26,635,383.95000000000005
22338,STAR DECORATION PAINTED ZINC ,94,116,4179,925.71
22339,CHRISTMAS TREE PAINTED ZINC ,44,51,2283,569.2900000000001
22340,NOEL GARLAND PAINTED ZINC ,53,61,993,430.22999999999996
22341,LOVE GARLAND PAINTED ZINC ,37,41,405,672.6499999999999
22342,HOME GARLAND PAINTED ZINC ,49,52,833,769.65
22343,PARTY PIZZA DISH RED RETROSPOT,48,63,1705,744.91
22344,PARTY PIZZA DISH PINK POLKADOT,34,46,1049,373.31
22345,PARTY PIZZA DISH BLUE POLKADOT,29,41,972,318.48
22346,PARTY PIZZA DISH GREEN POLKADOT,23,32,885,309.69
22348,TEA BAG PLATE RED RETROSPOT,144,254,3863,3223.49
22349,DOG BOWL CHASING BALL DESIGN,85,114,1341,5227.93
22350,ILLUSTRATED CAT BOWL ,63,88,1356,3586.3199999999993
22351,DOTCOMGIFTSHOP TEA TOWEL,1,1,12,19.799999999999997
22352,LUNCH BOX WITH CUTLERY RETROSPOT ,185,324,2853,6717.79
22353,LUNCH BOX WITH CUTLERY FAIRY CAKES ,23,24,61,155.54999999999998
22354,RETROSPOT PADDED SEAT CUSHION,43,65,700,2502.82
22355,CHARLOTTE BAG SUKI DESIGN,249,585,8975,7138.65
22356,CHARLOTTE BAG PINK POLKADOT,220,487,7306,5840.64
22357,KINGS CHOICE BISCUIT TIN,69,87,324,1332.6
22358,KINGS CHOICE TEA CADDY ,87,110,456,1341.2800000000002
22359,GLASS JAR KINGS CHOICE,47,62,162,480.74000000000007
22360,GLASS JAR ENGLISH CONFECTIONERY,102,143,886,2455.9
22361,GLASS JAR DAISY FRESH COTTON WOOL,92,123,539,1513.25
22362,GLASS JAR PEACOCK BATH SALTS,62,81,349,987.23
22363,GLASS JAR MARMALADE ,46,57,454,1226.94
22364,GLASS JAR DIGESTIVE BISCUITS,69,95,519,1429.97
22365,DOORMAT RESPECTABLE HOUSE,83,126,730,4873.44
22366,DOORMAT AIRMAIL ,104,156,722,4887.82
22367,CHILDRENS APRON SPACEBOY DESIGN,298,448,3543,6572.49
22371,AIRLINE BAG VINTAGE TOKYO 78,144,247,830,3489.88
22372,AIRLINE BAG VINTAGE WORLD CHAMPION ,81,101,221,935.33
22374,AIRLINE BAG VINTAGE JET SET RED,108,156,448,1882.8400000000001
22375,AIRLINE BAG VINTAGE JET SET BROWN,67,96,253,1056.05
22376,AIRLINE BAG VINTAGE JET SET WHITE,66,82,193,820.69
22377,BOTTLE BAG RETROSPOT ,83,105,1038,1510.89
22378,WALL TIDY RETROSPOT ,69,103,1685,2092.56
22379,RECYCLING BAG RETROSPOT ,187,407,6088,11942.43
22380,TOY TIDY SPACEBOY  ,114,195,1156,2274.75
22381,TOY TIDY PINK POLKADOT,133,289,3169,6229.58
22382,LUNCH BAG SPACEBOY DESIGN ,490,988,9912,15881.2
22383,LUNCH BAG SUKI  DESIGN ,434,1043,11722,18723.7
22384,LUNCH BAG PINK POLKADOT,444,931,10254,16349.5
22385,JUMBO BAG SPACEBOY DESIGN,247,477,8236,15331.02
22386,JUMBO BAG PINK POLKADOT,372,871,20165,37289.590000000004
22389,PAPERWEIGHT SAVE THE PLANET,36,36,329,596.91
22390,PAPERWEIGHT CHILDHOOD MEMORIES,24,30,261,410.71999999999997
22391,PAPERWEIGHT HOME SWEET HOME,18,18,146,186.05999999999997
22393,PAPERWEIGHT VINTAGE COLLAGE,43,49,487,617.38
22394,PAPERWEIGHT KINGS CHOICE ,16,16,160,190.79999999999998
22395,PAPERWEIGHT VINTAGE PAISLEY,15,15,134,130.26
22396,MAGNETS PACK OF 4 RETRO PHOTO,87,107,1182,572.8199999999999
22398,MAGNETS PACK OF 4 SWALLOWS,167,228,2545,1528.68
22399,MAGNETS PACK OF 4 CHILDHOOD MEMORY,71,87,1130,1309.9
22400,MAGNETS PACK OF 4 HOME SWEET HOME,112,143,1393,714.6
22402,MAGNETS PACK OF 4 VINTAGE COLLAGE,107,144,1705,1008.14
22403,MAGNETS PACK OF 4 VINTAGE LABELS ,72,85,1223,569.75
22405,MONEY BOX POCKET MONEY DESIGN,46,54,347,351.19
22406,MONEY BOX KINGS CHOICE DESIGN,49,64,319,336.89
22407,MONEY BOX FIRST ADE DESIGN,17,23,94,98.07
22408,MONEY BOX CONFECTIONERY DESIGN,20,22,137,141.5
22409,MONEY BOX BISCUITS DESIGN,36,45,216,270.0
22410,MONEY BOX HOUSEKEEPING DESIGN,34,46,223,212.88
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,375,790,10518,20174.23
22412,METAL SIGN NEIGHBOURHOOD WITCH ,73,113,877,1784.7000000000003
22413,METAL SIGN TAKE IT OR LEAVE IT ,228,351,3690,10647.300000000001
22414,DOORMAT NEIGHBOURHOOD WITCH ,37,70,253,1645.67
22415,WHITE TISSUE REAM,13,13,19,151.05
22416,SET OF 36 DOILIES SPACEBOY DESIGN ,54,63,850,1174.8999999999999
22417,PACK OF 60 SPACEBOY CAKE CASES,270,407,8103,4131.6900000000005
22418,10 COLOUR SPACEBOY PEN,179,242,6267,5209.17
22419,LIPSTICK PEN RED,94,157,2812,1236.12
22420,LIPSTICK PEN BABY PINK,55,84,1199,500.33
22421,LIPSTICK PEN FUSCHIA,80,120,1925,795.2
22422,TOOTHPASTE TUBE PEN,53,73,971,397.25
22423,REGENCY CAKESTAND 3 TIER,881,1703,12402,142592.94999999998
22424,ENAMEL BREAD BIN CREAM,189,326,713,8519.0
22425,ENAMEL COLANDER CREAM,110,141,434,2086.11
22426,ENAMEL WASH BOWL CREAM,104,144,660,2231.8
22427,ENAMEL FLOWER JUG CREAM,311,441,1995,11444.93
22428,ENAMEL FIRE BUCKET CREAM,75,92,221,1528.73
22429,ENAMEL MEASURING JUG CREAM,227,315,1193,4954.29
22430,ENAMEL WATERING CAN CREAM,131,161,544,2646.6
22431,WATERING CAN BLUE ELEPHANT,159,275,1981,3686.6499999999996
22432,WATERING CAN PINK BUNNY,158,234,1648,3100.58
22433,WATERING CAN GREEN DINOSAUR,121,189,1341,2487.5299999999997
22434,BALLOON PUMP WITH 10 BALLOONS,94,112,779,1521.23
22435,SET OF 9 HEART SHAPED BALLOONS,153,213,2680,3257.04
